Node-Id,Node-Title,betweennessCentrality-1-Social-Network Analysis,betweennessCentrality-1-Social-Network Analysis-unscaled,closenessCentrality-1-Social-Network Analysis,closenessCentrality-1-Social-Network Analysis-unscaled,eccentricityCentrality-1-Social-Network Analysis,egoBetweennessCentrality-1-Social-Network Analysis,inClosenessCentrality-1-Social-Network Analysis,inClosenessCentrality-1-Social-Network Analysis-unscaled,inInverseClosenessCentrality-1-Social-Network Analysis,inInverseClosenessCentrality-1-Social-Network Analysis-unscaled,outDegreeCentrality-1-Social-Network Analysis,outDegreeCentrality-1-Social-Network Analysis-unscaled,outDegreeCentrality-2-Social-Network Analysis,outDegreeCentrality-2-Social-Network Analysis-unscaled,totalDegreeCentrality-1-Social-Network Analysis,totalDegreeCentrality-1-Social-Network Analysis-unscaled,totalDegreeCentrality-2-Social-Network Analysis,totalDegreeCentrality-2-Social-Network Analysis-unscaled
EMP266,EMP266,1.95E-04,8,1.32E-04,0,11,0.333,1.05E-05,0,0.005,1,0.001,8,0.015,3,5.68E-04,9,0.01,4
EMP178,EMP178,0,0,1.27E-04,0,6,0,1.05E-05,0,7.04E-04,0.143,5.05E-04,4,0.005,1,6.95E-04,11,0.005,2
EMP253,EMP253,2.44E-05,1,1.27E-04,0,7,0.5,1.05E-05,0,0.001,0.25,0.001,9,0.01,2,8.21E-04,13,0.007,3
EMP179,EMP179,0,0,1.36E-04,0,51,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP242,EMP242,3.66E-04,15,1.36E-04,0,48,0.5,1.05E-05,0,0.002,0.333,7.58E-04,6,0.005,1,5.68E-04,9,0.005,2
EMP182,EMP182,0,0,1.31E-04,0,25,0,1.05E-05,0,0,0,2.53E-04,2,0.005,1,1.26E-04,2,0.002,1
EMP183,EMP183,0,0,1.31E-04,0,24,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP193,EMP193,0,0,1.26E-04,0,1,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP196,EMP196,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP201,EMP201,0,0,1.26E-04,0,2,0,1.05E-05,0,0,0,2.53E-04,2,0.005,1,1.26E-04,2,0.002,1
EMP358,EMP358,0,0,1.26E-04,0,0,0,1.06E-05,0,0.014,2.85,0,0,0,0,3.79E-04,6,0.005,2
EMP529,EMP529,1.46E-04,6,1.28E-04,0,4,0.5,1.05E-05,0,0.003,0.617,1.26E-04,1,0.005,1,0.002,34,0.007,3
EMP209,EMP209,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP210,EMP210,0,0,1.26E-04,0,2,0,1.05E-05,0,0,0,2.53E-04,2,0.005,1,1.26E-04,2,0.002,1
EMP493,EMP493,0,0,1.26E-04,0,0,0,1.06E-05,0,0.013,2.684,0,0,0,0,4.42E-04,7,0.007,3
EMP217,EMP217,0,0,1.30E-04,0,9,0,1.05E-05,0,0.017,3.548,3.79E-04,3,0.005,1,2.53E-04,4,0.005,2
EMP218,EMP218,0,0,1.26E-04,0,6,0,1.05E-05,0,0,0,7.58E-04,6,0.005,1,3.79E-04,6,0.002,1
EMP286,EMP286,0,0,1.26E-04,0,0,0,1.05E-05,0,0.001,0.229,0,0,0,0,0.001,22,0.005,2
EMP219,EMP219,0,0,1.36E-04,0,26,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP226,EMP226,0,0,1.26E-04,0,0,0,1.05E-05,0,0.005,1,0,0,0,0,6.32E-05,1,0.002,1
EMP228,EMP228,0,0,1.35E-04,0,54,0,1.06E-05,0,0.005,1.005,7.58E-04,6,0.005,1,7.58E-04,12,0.005,2
